Metric,Comparison_Type,Group_1,Group_2,Group_1_Mean,Group_1_SD,Group_1_n,Group_2_Mean,Group_2_SD,Group_2_n,Mean_Difference,CI_Lower_95,CI_Upper_95,Cohens_d,Effect_Size_Interpretation,t_statistic,p_value,Significant_p005
Coverage Rate (%),Height,1.524m,4.572m,0.15046666666666667,0.17491176006639408,15,0.8868666666666665,0.9046298269510705,15,0.7363999999999998,0.22946021834917985,1.2433397816508198,1.1302848689751106,large,-3.0954125957221956,0.004430312128628447,Yes
Coverage Rate (%),Height,1.524m,3.048m,0.15046666666666667,0.17491176006639408,15,1.860733333333333,3.310831843394964,15,1.7102666666666662,-0.12481205035114429,3.5453453836844764,0.7295187967191437,medium,-1.997869505435504,0.05552873767224853,No
Coverage Rate (%),Height,3.048m,4.572m,1.860733333333333,3.310831843394964,15,0.8868666666666665,0.9046298269510705,15,-0.9738666666666664,-2.8517553502679522,0.9040220169346196,-0.40127540598291866,small,1.09893795814444,0.28115488264030714,No
Coverage Rate (%),Canopy_Position,Bottom,Top,0.2544666666666667,0.28645265544156473,15,1.9942666666666669,3.275979209481095,15,1.7398000000000002,-0.07872933492185119,3.5583293349218517,0.7482026396003504,medium,-2.0490373164700997,0.049934243169629314,Yes
Coverage Rate (%),Canopy_Position,Middle,Top,0.6493333333333332,0.889248693052308,15,1.9942666666666669,3.275979209481095,15,1.3449333333333335,-0.512595824518715,3.202462491185382,0.560320725080783,medium,-1.5345015028219775,0.1361296794344985,No
Coverage Rate (%),Canopy_Position,Bottom,Middle,0.2544666666666667,0.28645265544156473,15,0.6493333333333332,0.889248693052308,15,0.39486666666666653,-0.11435498503626135,0.9040883183695945,0.5977279090589377,medium,-1.6369452952098837,0.11283396157137938,No
Coverage Density (droplets/mm²),Height,1.524m,4.572m,0.018141333333333332,0.008087262353908916,15,0.07616066666666668,0.06883079838754354,15,0.05801933333333335,0.01973640399821619,0.09630226266845052,1.183934574702902,large,-3.242338365875323,0.0030584584448221587,Yes
Coverage Density (droplets/mm²),Height,1.524m,3.048m,0.018141333333333332,0.008087262353908916,15,0.044712666666666664,0.04727567941140057,15,0.026571333333333332,0.0001476378605476808,0.052995028806118984,0.7834788242182558,medium,-2.1456451267598173,0.0407154408720687,Yes
Coverage Density (droplets/mm²),Height,3.048m,4.572m,0.044712666666666664,0.04727567941140057,15,0.07616066666666668,0.06883079838754354,15,0.03144800000000002,-0.012973932498141251,0.07586993249814128,0.532609016455583,medium,-1.4586098632168152,0.1557998930544922,No
Coverage Density (droplets/mm²),Canopy_Position,Bottom,Top,0.028862,0.03275451445439021,15,0.061617999999999985,0.061849164817088916,15,0.032755999999999987,-0.004793672203958849,0.07030567220395882,0.661894244871592,medium,-1.8126720429950955,0.08061824375141695,No
Coverage Density (droplets/mm²),Canopy_Position,Middle,Top,0.04853466666666666,0.05800806210798469,15,0.061617999999999985,0.061849164817088916,15,0.013083333333333322,-0.03177292062330257,0.057939587289969216,0.21820327981092755,small,-0.5975742923702831,0.5549265771006393,No
Coverage Density (droplets/mm²),Canopy_Position,Bottom,Middle,0.028862,0.03275451445439021,15,0.04853466666666666,0.05800806210798469,15,0.019672666666666665,-0.015989036851827898,0.05533437018516123,0.4176328837156591,small,-1.1437347558349922,0.2624180322653265,No
Droplet Count,Height,1.524m,4.572m,35.13333333333333,15.629032812898778,15,148.06666666666666,133.69179196231622,15,112.93333333333334,38.57869287154699,187.28797379511968,1.1865467954229743,large,-3.2494922269431528,0.003003334565138467,Yes
Droplet Count,Height,1.524m,3.048m,35.13333333333333,15.629032812898778,15,87.06666666666666,92.44262055587832,15,51.93333333333333,0.27579270193626115,103.5908739647304,0.7833739248867871,medium,-2.1453578481092546,0.04074043795160835,Yes
Droplet Count,Height,3.048m,4.572m,87.06666666666666,92.44262055587832,15,148.06666666666666,133.69179196231622,15,61.0,-25.452032811984324,147.45203281198434,0.5307445576106122,medium,-1.4535038323821625,0.15720115852544664,No
Droplet Count,Canopy_Position,Bottom,Top,55.8,62.99909296399206,15,120.46666666666667,121.48889817984349,15,64.66666666666667,-8.81190915514668,138.14524248848002,0.6682588102169126,medium,-1.8301021230368337,0.07790015996058516,No
Droplet Count,Canopy_Position,Middle,Top,94.0,111.88067623269764,15,120.46666666666667,121.48889817984349,15,26.46666666666667,-60.91089036196901,113.84422369530235,0.22662991327239304,small,-0.6206515785236455,0.5398484593040952,No
Droplet Count,Canopy_Position,Bottom,Middle,55.8,62.99909296399206,15,94.0,111.88067623269764,15,38.2,-30.541655916323293,106.9416559163233,0.4207445072192943,small,-1.1522562877520137,0.2589590543643241,No
